===================< Newton-Raphson - double >==================
 i                  xn                |f(xn)|             |f'(xn)|
 0    3.000000000000000000e+00    6.3840000000e-01   1.4500000000e+00
 1    3.440275862069010593e+00    3.9076414627e-01   2.8605562802e+00
 2    3.303671611704952493e+00    9.7900329719e-03   2.6707961295e+00
 3    3.300006025678456467e+00    1.6040399906e-05   2.6620145819e+00
 4    3.300000000016532820e+00    4.3961279061e-11   2.6620000000e+00

=======================< Secant - double >======================
 i                  xn                |f(xn)|             |f'(xn)|
 0    4.000000000000000000e+00    1.4616000000e+00   2.5000000000e-01
 1    7.519999999999873452e-01    4.6838400860e+00   1.9816195968e+01
 2    3.227512312616599210e+00    1.8579398597e-01   2.4534238647e+00
 3    3.329764554958300149e+00    8.0246421791e-02   2.7280776163e+00
 4    3.298921959891642608e+00    2.8683337872e-03   2.6593834776e+00
 5    3.299986354016342549e+00    3.6325383157e-05   2.6619669755e+00
 6    3.300000006703373678e+00    1.7844364208e-08   2.6620000162e+00

=======================< Bisection >======================
 i                  xn                f(xn)
 0    3.500000000000000000e+00    -5.6160000000e-01
 1    3.250000000000000000e+00    1.2980625000e-01
 2    3.375000000000000000e+00    -2.0549648437e-01
 3    3.312500000000000000e+00    -3.3459741211e-02
 4    3.281250000000000000e+00    4.9472731018e-02
 5    3.296875000000000000e+00    8.3068665505e-03
 6    3.304687500000000000e+00    -1.2504484838e-02
 7    3.300781250000000000e+00    -2.0804249760e-03
 8    3.298828125000000000e+00    3.1178660293e-03
 9    3.299804687500000000e+00    5.1987570075e-04
10    3.300292968750000000e+00    -7.7998661225e-04
11    3.300048828125000000e+00    -1.2998335333e-04
12    3.299926757812500000e+00    1.9496421135e-04
13    3.299987792968750000e+00    3.2494936939e-05
14    3.300018310546875000e+00    -4.8743081429e-05
15    3.300003051757812500e+00    -8.1237905007e-06
16    3.299995422363281250e+00    1.2185643563e-05
17    3.299999237060546875e+00    2.0309440814e-06
